Species,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
Aira caryophyllea,18,18,8,22,6,7,14,1,0,8
Anagallis arvensis,13,18,15,24,25,29,25,7,8,4
Baccharis pilularis,0,1,0,0,2,3,1,0,1,12
Bromus carinatus,13,15,24,11,13,1,2,10,19,13
Bromus diandrus,29,21,22,18,29,36,36,21,15,9
Bromus hordeaceus,30,30,26,37,30,33,28,21,16,16
Danthonia californica,1,1,6,0,1,2,0,2,0,0
Daucus pusillus,17,21,5,20,8,21,19,7,17,2
Holcus lanatus,32,34,38,40,31,19,36,40,32,40
Hypochaeris glabra,7,4,14,23,26,26,27,13,6,3
Hypochaeris radicata,41,37,30,35,31,33,18,3,23,11
Linum bienne,0,0,0,0,0,0,0,7,0,0
Lolium perenne,3,1,9,3,5,2,5,23,17,11
Lupinus arboreus,0,0,0,0,0,0,0,0,0,0
Lupinus bicolor,17,14,1,4,9,14,2,0,0,0
Oxalis albicans,0,0,0,1,2,9,6,0,0,5
Rumex acetosella,37,37,36,40,29,36,34,36,26,38
Sisyrinchium bellum,5,5,0,0,5,0,0,0,0,0
Sonchus asper,0,0,0,0,0,0,3,0,0,0
Trifolium microdon,0,0,2,1,1,0,0,0,0,0
Vicia sativa,17,14,14,13,21,18,17,16,17,21
Vulpia myuros,18,22,14,34,29,26,26,11,20,34
